

|Religious Tradition at Age x| Evangelical | Mainline | Other | Catholic | None | 
|:---------------------------|------------:|---------:|------:|---------:|-----:|
|$e_{18}$: Expected years in Tradition (from age 18 )| | | | | |
| Evangelical |  56.8 |  12.2 |  6 |  2.4 |  7.4 |  
|	| [55.5, 58.1] | [10.7, 13.8] | [4.7, 7.4] | [1.9, 2.9] | [6.4, 8.4] | 
| Mainline |  3.6 |  50.6 |  1.3 |  1 |  2.2 |  
|	| [3.1, 4.2] | [48.3, 52.7] | [0.8, 1.9] | [0.7, 1.3] | [1.6, 2.7] | 
| Other |  1 |  0.4 |  44.1 |  0.3 |  2.3 |  
|	| [0.7, 1.2] | [0.2, 0.6] | [40.8, 47.2] | [0.2, 0.5] | [1.8, 2.8] | 
| Catholic |  1 |  1.3 |  0.7 |  60.7 |  3 |  
|	| [0.8, 1.3] | [0.9, 1.7] | [0.3, 1.2] | [59.2, 62.1] | [2.4, 3.6] | 
| None |  6.1 |  5.2 |  16.2 |  5 |  54.1 |  
|	| [5.3, 6.9] | [4.2, 6.2] | [13.8, 18.7] | [4.2, 5.8] | [52.5, 55.7] | 
|Total | 68.5  | 69.7  | 68.3  | 69.4  | 69  | 
|	| [65.4, 71.7] | [64.3, 75] | [60.4, 76.4] | [66.2, 72.6] | [64.7, 73.2] | 
|$e_{30}$: Expected years in Tradition (from age 30 )| | | | | |
| Evangelical |  47.7 |  13 |  7.1 |  2.2 |  4.4 |  
|	| [46.2, 49.1] | [10.7, 15.6] | [5.2, 9.2] | [1.7, 2.8] | [3.7, 5.1] | 
| Mainline |  3.3 |  57.4 |  1.6 |  1 |  1.4 |  
|	| [2.8, 3.9] | [54.3, 60.8] | [0.9, 2.5] | [0.7, 1.3] | [1, 1.7] | 
| Other |  0.9 |  0.4 |  52.2 |  0.3 |  1.4 |  
|	| [0.6, 1.1] | [0.2, 0.7] | [47.7, 57] | [0.2, 0.5] | [1.1, 1.7] | 
| Catholic |  0.9 |  1.4 |  0.9 |  55.6 |  1.8 |  
|	| [0.7, 1.1] | [1, 1.9] | [0.4, 1.4] | [54, 57.1] | [1.4, 2.2] | 
| None |  4.7 |  4.9 |  17.5 |  4.1 |  29.4 |  
|	| [4, 5.5] | [3.8, 6.2] | [13.6, 21.9] | [3.4, 5] | [27.9, 31] | 
|Total | 57.5  | 77.1  | 79.3  | 63.2  | 38.4  | 
|	| [54.3, 60.7] | [70, 85.2] | [67.8, 92] | [60, 66.7] | [35.1, 41.7] | 
|$e_{50}$: Expected years in Tradition (from age 50 )| | | | | |
| Evangelical |  31 |  6.5 |  4.1 |  1.4 |  3.8 |  
|	| [30.2, 31.8] | [5.3, 7.7] | [3, 5.3] | [1.1, 1.7] | [3.2, 4.5] | 
| Mainline |  2.5 |  33.5 |  1.1 |  0.7 |  1.3 |  
|	| [2, 2.9] | [32.3, 34.7] | [0.6, 1.6] | [0.5, 1] | [1, 1.7] | 
| Other |  0.6 |  0.2 |  31.3 |  0.2 |  1.2 |  
|	| [0.4, 0.7] | [0.1, 0.4] | [29.4, 33.1] | [0.1, 0.3] | [0.9, 1.5] | 
| Catholic |  0.6 |  0.7 |  0.5 |  35.6 |  1.6 |  
|	| [0.4, 0.8] | [0.5, 1] | [0.2, 0.9] | [34.9, 36.3] | [1.2, 2] | 
| None |  2.6 |  2 |  8.4 |  2.2 |  21.8 |  
|	| [2.2, 3] | [1.5, 2.5] | [6.5, 10.7] | [1.7, 2.7] | [20.9, 22.7] | 
|Total | 37.3  | 42.9  | 45.4  | 40.1  | 29.7  | 
|	| [35.2, 39.2] | [39.7, 46.3] | [39.7, 51.6] | [38.3, 42] | [27.2, 32.4] | 
|$e_{70}$: Expected years in Tradition (from age 70 )| | | | | |
| Evangelical |  15.3 |  2.5 |  1.8 |  0.7 |  2.4 |  
|	| [14.9, 15.7] | [2, 3] | [1.3, 2.4] | [0.5, 0.9] | [2, 3] | 
| Mainline |  1.4 |  14.9 |  0.5 |  0.4 |  1 |  
|	| [1.1, 1.7] | [14.5, 15.4] | [0.3, 0.8] | [0.3, 0.5] | [0.7, 1.3] | 
| Other |  0.3 |  0.1 |  14.4 |  0.1 |  0.8 |  
|	| [0.2, 0.4] | [0, 0.1] | [13.6, 15.1] | [0.1, 0.2] | [0.6, 1.1] | 
| Catholic |  0.3 |  0.3 |  0.2 |  17.3 |  1 |  
|	| [0.2, 0.4] | [0.2, 0.4] | [0.1, 0.4] | [17, 17.6] | [0.8, 1.3] | 
| None |  1.1 |  0.6 |  3.2 |  0.9 |  12.2 |  
|	| [0.9, 1.3] | [0.5, 0.8] | [2.3, 4.1] | [0.7, 1.1] | [11.7, 12.6] | 
|Total | 18.4  | 18.4  | 20.1  | 19.4  | 17.4  | 
|	| [17.3, 19.5] | [17.2, 19.7] | [17.6, 22.8] | [18.6, 20.3] | [15.8, 19.3] | 


NOTE: Mean posterior estimates with 84% intervals in brackets.
